Year,State,Units Reimbursed,Number of Prescriptions,Total Amount Reimbursed,Medicaid Amount Reimbursed,Non Medicaid Amount Reimbursed
2000,AK,1690161.547,25524.0,2748658.91,0.0,0.0
2000,AL,1899487.009,43716.0,4096281.9399999995,0.0,0.0
2000,AR,1158589.0,17751.0,1915356.5499999998,0.0,0.0
2000,CA,6801770.0,60549.0,13269263.620000001,0.0,0.0
2000,CO,1177812.0010000002,23226.0,1345382.25,0.0,0.0
2000,CT,3451891.269,58461.0,5116650.649999999,0.0,0.0
2000,DC,390553.0,7016.0,562985.4299999999,0.0,0.0
2000,DE,986781.0,17947.0,944149.1499999999,0.0,0.0
2000,FL,11215995.91,181924.0,22670430.7,0.0,0.0
2000,GA,4805800.0,94641.0,7854110.56,2051469.48,0.0
2000,HI,540192.0,8059.0,843019.4199999999,0.0,0.0
2000,IA,501946.0,8083.0,745904.4,0.0,0.0
2000,ID,391564.0,6551.0,792010.7100000001,0.0,0.0
2000,IL,1421012.0,20631.0,2730319.4400000004,0.0,0.0
2000,IN,2353637.0,37890.0,4452667.02,2812400.6900000004,78393.38999999998
2000,KS,776653.0,12372.0,1383884.2,20056.629999999997,0.0
2000,KY,1546659.0,23906.0,2850558.73,553113.5,0.0
2000,LA,2278890.0,44767.0,3652712.0,33307.240000000005,0.0
2000,MA,9817186.0,151582.0,12155686.98,0.0,0.0
2000,MD,1051345.0,18741.0,1111694.38,0.0,0.0
2000,ME,3334347.0,54516.0,4257468.93,0.0,0.0
2000,MI,2063353.0,25302.0,4498463.48,0.0,0.0
2000,MN,1221004.253,20786.0,1395941.0799999998,0.0,0.0
2000,MO,4016626.0,61137.0,7367026.17,0.0,0.0
2000,MS,1126560.021,21638.0,2494630.02,0.0,0.0
2000,MT,749535.716,14060.0,906218.9800000002,0.0,0.0
2000,NC,9126601.0,149380.0,10976075.920000002,5529200.78,0.0
2000,ND,190946.0,3971.0,269690.12,0.0,0.0
2000,NE,839223.0,15631.0,990975.26,0.0,0.0
2000,NH,1341984.0,26088.0,1956302.2000000002,1919926.4500000002,0.0
2000,NJ,4942946.0,81559.0,6260884.199999999,54184.64,0.0
2000,NM,390731.0,4968.0,592391.32,0.0,0.0
2000,NV,529484.0,7770.0,1185755.47,1185755.47,0.0
2000,NY,9498518.0,86202.0,9413462.059999999,148777.97999999998,0.0
2000,OH,8552227.0,160905.0,14468639.25,0.0,0.0
2000,OK,1224276.69,17471.0,1851941.23,38758.92,0.0
2000,OR,1786526.4,27439.0,2215702.6500000004,0.0,0.0
2000,PA,4522028.0,80125.0,6714987.46,0.0,0.0
2000,RI,805231.0,12631.0,1254542.0999999999,0.0,0.0
2000,SC,3716990.0,63752.0,6616142.08,5587186.87,0.0
2000,SD,174109.0,3380.0,219196.63,3109.21,0.0
2000,TN,1566506.0,27131.0,2044642.0100000002,0.0,0.0
2000,TX,2249197.0,23227.0,5460371.26,1223022.42,0.0
2000,UT,745058.0,15760.0,1016416.5300000003,0.0,0.0
2000,VA,3829239.0,64999.0,5166374.09,0.0,0.0
2000,VT,140990.0,3266.0,230738.66,0.0,0.0
2000,WA,6342380.0,97497.0,8405275.63,0.0,0.0
2000,WI,3750323.0,58361.0,5468428.0600000005,0.0,0.0
2000,WV,2989246.35,52186.0,4697218.22,0.0,0.0
2000,WY,188150.0,3684.0,178942.47000000003,0.0,0.0
2000,XX,138989559.81599998,2176602.0,214552052.54000002,21194252.94,78393.39
2001,AK,2419982.0,32387.0,4625141.57,0.0,0.0
2001,AL,2281121.43,49521.0,5299651.01,0.0,0.0
2001,AR,1552190.0,22468.0,2657819.54,0.0,0.0
2001,CA,9712748.0,80803.0,21418530.14,8429635.969999999,0.0
2001,CO,1614708.0,30707.0,2300803.55,0.0,0.0
2001,CT,4222778.0,69176.0,6844387.42,0.0,0.0
2001,DC,468862.0,9003.0,721816.9,0.0,0.0
2001,DE,1451589.0,24649.0,1695663.8000000003,0.0,0.0
2001,FL,14128438.871,226299.0,33594784.129999995,0.0,0.0
2001,GA,6427551.0,125273.0,12228566.14,77594.32,0.0
2001,HI,980063.0,12640.0,2080278.5200000003,0.0,0.0
2001,IA,1183906.0,18033.0,2038997.06,0.0,0.0
2001,ID,626701.0,10315.0,1317030.0399999996,0.0,0.0
2001,IL,2324663.0,33984.0,4460540.390000001,9678.130000000001,0.0
2001,IN,4285182.0,66706.0,8954039.629999999,6099184.38,164299.86
2001,KS,1224975.0,19548.0,2424194.53,0.0,0.0
2001,KY,1974427.0,29801.0,3875203.36,1717735.3000000003,0.0
2001,LA,2747079.0,52468.0,5068681.529999999,8629.62,0.0
2001,MA,13107856.0,194920.0,19251237.21,0.0,0.0
2001,MD,2440127.0,48446.0,3301407.99,0.0,0.0
2001,ME,4103624.0,64769.0,4874455.3,0.0,0.0
2001,MI,3544837.0,44316.0,8560912.950000001,0.0,0.0
2001,MN,1992212.0,33627.0,2675657.66,1619.85,0.0
2001,MO,5632504.0,81741.0,11694747.64,0.0,0.0
2001,MS,2233041.031,42796.0,5069727.32,4412000.12,0.0
2001,MT,1045928.041,18272.0,1632504.85,0.0,0.0
2001,NC,12926080.0,207704.0,17930646.21,0.0,0.0
2001,ND,311873.0,5764.0,454926.8,0.0,0.0
2001,NE,1108430.0,19324.0,1557682.79,0.0,0.0
2001,NH,1471083.0,27959.0,2273007.96,2178808.3600000003,0.0
2001,NJ,5358821.0,89622.0,8350162.960000001,33701.97,0.0
2001,NM,510284.04000000004,6461.0,916278.28,0.0,0.0
2001,NV,905576.0,12885.0,2164299.1500000004,2164299.1500000004,0.0
2001,NY,11009593.0,101082.0,13586410.739999998,85666.17,0.0
2001,OH,11141515.0,205856.0,19524356.67,0.0,0.0
2001,OK,1635975.653,22482.0,2972275.61,2777.91,0.0
2001,OR,3164901.0,47103.0,4524102.1899999995,0.0,0.0
2001,PA,7340912.0,126169.0,12173666.98,63703.57,0.0
2001,RI,1147345.0,17658.0,1927136.95,0.0,0.0
2001,SC,4231219.0600000005,70152.0,6873873.109999999,6154449.0,7014.199999999999
2001,SD,270852.0,5127.0,373871.86000000004,2207.84,0.0
2001,TN,4841937.0,78053.0,8143864.66,0.0,0.0
2001,TX,3054749.0,30459.0,8047967.23,1265347.99,0.0
2001,UT,1294646.0,26380.0,2032769.6500000001,0.0,0.0
2001,VA,4124676.0,65515.0,6108013.69,0.0,0.0
2001,VT,213851.03,3743.0,286669.95,0.0,0.0
2001,WA,8737138.469,133616.0,13557922.780000001,0.0,0.0
2001,WI,4441434.0,66962.0,7145021.800000001,0.0,0.0
2001,WV,3219488.8770000003,55917.0,5286583.25,0.0,0.0
2001,WY,220425.0,4507.0,265812.36,0.0,0.0
2001,XX,189865466.792,2908883.0,333748293.84000003,32793854.520000003,171314.65999999997
2002,AK,2015792.0,29390.0,4236830.35,0.0,0.0
2002,AL,2354616.77,50676.0,5517267.21,0.0,0.0
2002,AR,1847746.0,26997.0,2992208.12,0.0,0.0
2002,CA,15523130.0,126075.0,40631688.53,914805.85,0.0
2002,CO,2798011.0,53215.0,4002070.6400000006,0.0,0.0
2002,CT,5145757.614,80024.0,8301998.0600000005,0.0,0.0
2002,DC,484462.0,9321.0,735472.8099999998,0.0,0.0
2002,DE,1742095.0,26101.0,1411011.92,0.0,0.0
2002,FL,17079899.14,269405.0,36127955.67,0.0,0.0
2002,GA,6536733.0,130946.0,11261773.57,0.0,0.0
2002,HI,1304778.0,14831.0,3102413.0,24797.649999999998,0.0
2002,IA,2009511.0,29392.0,3168664.9299999997,0.0,0.0
2002,ID,970934.7,15063.0,2205546.35,2174631.24,5014.2
2002,IL,3251540.0,49498.0,6554067.92,3823.88,0.0
2002,IN,4364196.0,69061.0,8639143.46,4313778.220000001,106273.89
2002,KS,1552497.0,24815.0,3027765.4299999997,2824.26,0.0
2002,KY,2317954.0,40753.0,4168092.3000000003,3599655.18,0.0
2002,LA,3169560.0,61381.0,5323505.640000001,98810.13,18.0
2002,MA,16374314.726,251253.0,24653469.43,55031.89,0.0
2002,MD,3364232.0,61788.0,4855460.93,0.0,0.0
2002,ME,5585473.0,83813.0,6472864.069999999,0.0,0.0
2002,MI,3240234.0,37024.0,8092904.870000001,7797201.83,206522.33
2002,MN,2687361.5,44422.0,3728524.59,408419.12,0.0
2002,MO,7543402.0,105988.0,14878657.93,0.0,0.0
2002,MS,2305022.451,42482.0,5305183.98,3080192.0300000003,0.0
2002,MT,1233632.0,19709.0,1949943.9000000001,0.0,0.0
2002,NC,14057229.0,225125.0,17315158.8,1507503.64,5345.719999999999
2002,ND,444778.0,8126.0,616421.6000000001,0.0,0.0
2002,NE,1457333.0,24401.0,2166662.8400000003,0.0,0.0
2002,NH,1594541.04,30184.0,2154561.69,1968790.21,37474.02
2002,NJ,5871115.0,98089.0,9793519.43,15409.07,0.0
2002,NM,802398.0,12068.0,1039432.0999999999,0.0,0.0
2002,NV,1622810.5,22535.0,3774274.43,3774274.43,0.0
2002,NY,13547720.0,125266.0,18836384.07,39118.03,0.0
2002,OH,13696616.0,248857.0,20692596.64,0.0,0.0
2002,OK,2113675.828,27664.0,4157774.9600000004,7540.5,0.0
2002,OR,4139380.0,58786.0,5821136.33,0.0,0.0
2002,PA,7041568.0,121890.0,11314637.86,4291.32,0.0
2002,RI,1441299.0,22520.0,2592056.99,0.0,0.0
2002,SC,5081690.9,82843.0,7664249.51,7208336.26,65080.579999999994
2002,SD,366071.0,6673.0,577058.4299999999,963.38,0.0
2002,TN,7341791.0,110227.0,13851081.67,0.0,0.0
2002,TX,3494830.0,34338.0,9523839.84,0.0,0.0
2002,UT,1810502.0,35617.0,3029517.4699999997,0.0,0.0
2002,VA,4371992.0,66976.0,6364923.92,0.0,0.0
2002,VT,363219.338,5433.0,235264.19,0.0,0.0
2002,WA,10665915.436,165291.0,15115700.99,0.0,0.0
2002,WI,6307337.0,92026.0,9392144.37,0.0,0.0
2002,WV,3205861.505,54147.0,4919917.48,3639230.77,48024.240000000005
2002,WY,236590.0,4783.0,154272.82,0.0,0.0
2002,XX,229441553.31100002,3454748.0,393677068.01,40682725.85,474037.54
2003,AK,1366130.0,21753.0,2912065.04,528727.29,273.58
2003,AL,2399633.0,51137.0,5621584.640000001,0.0,0.0
2003,AR,2205668.2,31769.0,3780966.3299999996,0.0,0.0
2003,CA,18326985.894,153486.0,50789476.52,1156504.09,0.0
2003,CO,3670394.024,75161.0,4615241.390000001,0.0,0.0
2003,CT,6109631.0,91267.0,10409338.219999999,1156442.79,10419.949999999999
2003,DC,667505.0,11873.0,1299109.8199999998,0.0,0.0
2003,DE,1828361.0,26439.0,2238082.3999999994,0.0,0.0
2003,FL,19480174.83,292274.0,32548589.270000003,0.0,0.0
2003,GA,7954277.0,160334.0,14050818.95,10478720.64,73446.0
2003,HI,1281556.0,15105.0,1768198.62,712247.4200000002,0.0
2003,IA,2891523.24,39477.0,4752053.01,0.0,0.0
2003,ID,1215916.4,18593.0,2717929.1999999997,2659787.6399999997,24688.890000000003
2003,IL,4417070.0,66626.0,8900139.81,0.0,0.0
2003,IN,5124637.5,76316.0,10239546.89,1380015.96,324.96
2003,KS,2100106.0,32538.0,3910714.62,4284.33,0.0
2003,KY,3045829.0,54625.0,5248328.55,4104650.6000000006,0.0
2003,LA,3334950.0,62051.0,5351261.99,31005.76,0.0
2003,MA,18428874.0,264490.0,25677771.27,0.0,0.0
2003,MD,5676274.0,93596.0,8827744.280000001,0.0,0.0
2003,ME,6792298.0,94374.0,7494898.09,0.0,0.0
2003,MI,3338895.0,38002.0,7932840.790000001,7721551.83,147477.76
2003,MN,3417981.8,54509.0,5138804.75,982942.06,0.0
2003,MO,10388376.0,140788.0,20580228.160000004,0.0,0.0
2003,MS,2305291.432,42713.0,4533261.78,109260.4,0.0
2003,MT,1530034.0,24881.0,2475530.86,2016116.45,40490.07
2003,NC,17496607.0,274169.0,21097703.47,3645491.8000000003,13294.92
2003,ND,467633.0,8807.0,661884.44,0.0,0.0
2003,NE,1829281.0,28601.0,2890518.05,0.0,0.0
2003,NH,1945786.0,36043.0,2885999.08,2820248.2800000003,33151.060000000005
2003,NJ,7551155.0,122858.0,13831243.29,155588.8,174.8
2003,NM,1054327.0899999999,16638.0,1216746.87,0.0,0.0
2003,NV,2283620.3200000003,32289.0,5263882.68,3333107.29,86035.44
2003,NY,17087161.0,157852.0,26020066.880000003,22182197.909999996,0.0
2003,OH,19263491.0,336183.0,27489713.82,0.0,0.0
2003,OK,2529122.5,32427.0,5661697.85,29237.65,0.0
2003,OR,3693812.5,49580.0,3508040.51,115985.94,2204.0
2003,PA,8590695.0,144949.0,13750640.370000001,81022.27,0.0
2003,RI,1867890.0,27414.0,3433469.4,0.0,0.0
2003,SC,6759060.6,102254.0,11146791.670000002,10812267.94,158948.1
2003,SD,588262.0,9996.0,1053401.37,0.0,0.0
2003,TN,15337106.0,253252.0,28355311.77,5707966.42,3428.0299999999997
2003,TX,3995997.0,39856.0,11628460.0,0.0,0.0
2003,UT,2524116.0,47941.0,4374592.880000001,0.0,0.0
2003,VA,5369384.67,79751.0,7591078.380000001,398114.05000000005,2049.41
2003,VT,290875.856,4350.0,363070.19000000006,0.0,0.0
2003,WA,12647823.558,875085.0,97392968.04,0.0,0.0
2003,WI,9325174.0,130485.0,13931100.079999998,0.0,0.0
2003,WV,3469709.835,53337.0,3699151.9000000004,3242979.33,29869.410000000003
2003,WY,371187.0,7524.0,302004.66000000003,0.0,0.0
2003,XX,287342423.03000003,4921543.0,569580472.8900001,85579079.75999999,628582.55
2004,AK,1506425.65,22926.0,2923287.45,1475504.67,0.0
2004,AL,2274782.0,47681.0,4829630.0600000005,0.0,0.0
2004,AR,2189992.35,30771.0,3978079.4,0.0,0.0
2004,CA,18759577.0,174354.0,56205900.69,11014403.93,0.0
2004,CO,4636955.800000001,99611.0,5440302.6899999995,0.0,0.0
2004,CT,6735432.0,100494.0,12093248.18,1504940.27,8373.470000000001
2004,DC,651342.0,11875.0,1189936.8399999999,0.0,0.0
2004,DE,3184265.0,44935.0,3214938.96,0.0,0.0
2004,FL,21630760.16,317986.0,29914089.81,0.0,0.0
2004,GA,8188798.15,164051.0,10757093.169999998,9609824.57,132280.0
2004,HI,1482338.0,16583.0,2143047.81,1125379.71,0.0
2004,IA,3476525.0,46430.0,5706097.09,0.0,0.0
2004,ID,1170728.0,17309.0,2657544.7699999996,2610153.35,36212.06
2004,IL,4804135.0,71064.0,9869238.280000001,0.0,0.0
2004,IN,6274148.499,89247.0,12178479.27,3520909.54,67291.75
2004,KS,2643889.0,39962.0,4729176.41,738819.0199999999,0.0
2004,KY,3616187.01,63538.0,6050239.18,4443309.92,1653.81
2004,LA,4127136.0,74000.0,7499650.27,1253026.12,13998.0
2004,MA,19863233.65,279866.0,25867234.64,1516721.61,0.0
2004,MD,6223864.3,105618.0,7852381.109999999,0.0,0.0
2004,ME,8116089.5,94665.0,4467963.4,0.0,0.0
2004,MI,3924347.5,44254.0,9601266.58,9405455.89,171987.15
2004,MN,4005531.0,61159.0,6056773.77,2257308.76,0.0
2004,MO,13271160.0,172870.0,24863166.81,0.0,0.0
2004,MS,2638991.0,47117.0,4711546.22,595623.24,55.0
2004,MT,1792256.0,28526.0,2938150.58,2860656.62,76630.64
2004,NC,22338564.98,335288.0,27119384.29,6751678.05,44594.36
2004,ND,557870.0,9906.0,747155.5,1655.57,0.0
2004,NE,2254262.0,33329.0,3676788.0999999996,0.0,0.0
2004,NH,2464333.1,44839.0,3544407.3600000003,3253044.5999999996,36066.619999999995
2004,NJ,9595017.999,157390.0,17099731.520000003,0.0,0.0
2004,NM,1360991.6,19715.0,1803785.1999999997,0.0,0.0
2004,NV,2678020.96,34094.0,6170301.97,3936095.8599999994,54387.52
2004,NY,19698100.5,178180.0,37293644.79,33667489.71,193568.54999999996
2004,OH,19024317.0,315009.0,26768042.07,0.0,0.0
2004,OK,4317098.0,60728.0,9315776.260000002,29222.61,0.0
2004,OR,4179181.0,54338.0,3751239.63,1170536.7,50598.72
2004,PA,10884459.2,178859.0,17642677.41,3616777.61,138254.63
2004,RI,2183574.3,31668.0,4308165.6499999985,0.0,0.0
2004,SC,7862323.0,116075.0,13239472.969999999,12936753.740000002,219512.90999999997
2004,SD,672352.0,11643.0,1281405.12,0.0,0.0
2004,TN,24211205.405,2914201.0,70892324.63999999,13819820.44,28530.44
2004,TX,3632179.0,34581.0,11415013.71,0.0,0.0
2004,UT,3043620.04,57454.0,5291194.28,0.0,0.0
2004,VA,6035655.8,88074.0,8870708.75,3657476.38,26090.55
2004,VT,370246.372,5592.0,567559.62,0.0,0.0
2004,WA,12992987.0,183119.0,12814617.21,0.0,0.0
2004,WI,11615359.0,159196.0,17968353.42,0.0,0.0
2004,WV,4252102.4799999995,59083.0,4331732.09,4173717.4699999997,25132.420000000002
2004,WY,487360.0,8703.0,459618.56,0.0,0.0
2004,XX,335321939.60300004,7373125.0,575260334.72,140955898.9,1327271.75
2005,AK,1753229.0,26694.0,2912302.09,1384803.38,490.28999999999996
2005,AL,2182381.0,45179.0,4279213.36,0.0,0.0
2005,AR,2422060.2120000003,33436.0,4096809.7499999995,0.0,0.0
2005,CA,23338996.82,232653.0,69043403.63,61668797.059999995,0.0
2005,CO,5857564.05,118237.0,6041381.46,0.0,0.0
2005,CT,6647958.0,100975.0,10375072.829999998,680331.56,14393.27
2005,DC,1027291.0,17731.0,1879957.14,0.0,0.0
2005,DE,2967521.0,50647.0,2218928.76,0.0,0.0
2005,FL,24261950.82,344901.0,25590128.240000002,4399190.52,1693.33
2005,GA,8034622.45,160042.0,7103432.33,3302567.88,40384.0
2005,HI,1613360.0,17371.0,2152952.4099999997,734675.69,0.0
2005,IA,3930619.378,52590.0,6462388.709999999,1206.79,24.42
2005,ID,891030.98,13476.0,1372241.5199999998,1351781.54,20011.120000000003
2005,IL,5686194.0,83156.0,10980230.600000001,564592.35,0.0
2005,IN,6927705.5,93838.0,12939480.440000001,6143835.05,177734.75999999998
2005,KS,3141757.4,45518.0,4897255.57,2050965.6800000002,0.0
2005,KY,4096083.0,75018.0,4929372.64,4652649.45,54806.47
2005,LA,4805997.0,81417.0,10098802.66,2581846.99,25180.809999999998
2005,MA,22223843.0,295917.0,23171407.5,98221.81,0.0
2005,MD,7416433.5,122708.0,7335912.34,0.0,0.0
2005,ME,9209634.0,103128.0,4074356.44,0.0,0.0
2005,MI,4164791.0,46184.0,8914481.03,8628425.04,169463.25
2005,MN,4791893.0,71853.0,6248968.75,3913799.27,0.0
2005,MO,15534843.6,195818.0,26651105.77,0.0,0.0
2005,MS,2597705.0,45072.0,3878194.16,310224.06,495.0
2005,MT,1929984.0,29102.0,2896586.0199999996,2819610.71,76975.31
2005,NC,26828480.299999997,383502.0,30217869.51,9027180.65,76130.29000000001
2005,ND,525464.0,8872.0,667139.63,0.0,0.0
2005,NE,2589794.5,36752.0,4284313.33,0.0,0.0
2005,NH,2896226.0,51161.0,4280225.470000001,3984458.1399999997,52901.73
2005,NJ,11645513.5,189630.0,20131697.229999997,182387.89,584.6600000000001
2005,NM,389550.0,6710.0,366984.32,0.0,0.0
2005,NV,3214260.0,39459.0,7156051.05,761277.55,12144.41
2005,NY,23917958.435,217059.0,47909619.73,33269262.47,147889.65999999997
2005,OH,30922298.0,495798.0,41438327.59,0.0,0.0
2005,OK,5165232.35,73614.0,10240416.17,1485.67,0.0
2005,OR,4426894.62,55222.0,4144622.88,449628.52,21955.0
2005,PA,12596069.0,202225.0,18995360.23,2142241.29,48143.12
2005,RI,2300578.0,34790.0,4450526.57,0.0,0.0
2005,SC,8272630.0,121402.0,12026666.92,11649151.99,132282.75
2005,SD,713270.0,11877.0,1195741.96,0.0,0.0
2005,TN,23318946.229999997,1535862.0,105243425.10999998,22084000.46,47724.03
2005,TX,3643485.0,34341.0,11563019.55,7759128.659999999,2943.88
2005,UT,3775510.0,67307.0,6266919.65,0.0,0.0
2005,VA,6499621.0600000005,93122.0,8315403.600000001,1212053.2000000002,11555.5
2005,VT,581531.008,8710.0,714219.5900000001,0.0,0.0
2005,WA,14709182.5,198804.0,11931547.11,1540160.0999999999,176.04
2005,WI,12286770.0,157095.0,15641570.31,0.0,0.0
2005,WV,5087454.45,67982.0,5126382.04,4671816.48,38073.689999999995
2005,WY,491208.0,8390.0,391882.85,0.0,0.0
2005,XX,385927069.353,6622866.0,644787454.26,204106492.29000002,1176881.81
2006,AK,977070.5,17108.0,1304461.46,529295.1900000001,3765.46
2006,AL,1229354.0,29971.0,1973355.19,0.0,0.0
2006,AR,1655244.46,27159.0,1133469.27,6789.68,0.0
2006,CA,12116065.629999999,131332.0,31501068.12,28118128.89,0.0
2006,CO,3740597.0,73260.0,3333877.79,1532045.48,7052.76
2006,CT,2544901.001,39366.0,3506483.9699999997,247451.08999999997,611.0600000000001
2006,DC,717233.0,12835.0,1049772.8900000001,0.0,0.0
2006,DE,3220426.0,49825.0,2223084.8499999996,0.0,0.0
2006,FL,11383590.0,165431.0,8746179.64,6972901.550000001,37063.73
2006,GA,4608047.0,93162.0,3618696.8999999994,1670950.4100000001,17313.0
2006,HI,1025343.0,10739.0,1197851.85,233650.88,0.0
2006,IA,1927382.903,28132.0,2280410.97,337653.52,9675.810000000001
2006,ID,608656.0,9773.0,632902.09,591697.26,4718.0
2006,IL,3082611.7,45154.0,4948077.17,0.0,0.0
2006,IN,3171912.42,41243.0,4126260.25,750817.29,32093.25
2006,KS,1636867.0,23589.0,1952057.95,233533.63,0.0
2006,KY,3125074.65,59258.0,3090611.3499999996,2458232.86,16836.93
2006,LA,3183617.0,58782.0,6346783.21,1424030.54,17857.73
2006,MA,11186639.0,171855.0,6952981.35,111573.91,0.0
2006,MD,1975609.19,39785.0,1418562.49,39971.65,0.0
2006,ME,5726269.511,68823.0,1677676.4500000002,510203.5,16005.760000000002
2006,MI,1067705.0,12389.0,1310565.3399999999,1200213.69,57428.89
2006,MN,2448194.0,36414.0,2376242.7199999997,1327848.8599999999,2279.05
2006,MO,7982286.25,102933.0,11754975.649999999,6995.22,897.77
2006,MS,743481.0,21084.0,658371.59,39078.45,686.26
2006,MT,1086881.0,15903.0,1285797.0,1250227.89,35437.08
2006,NC,15971658.592,240439.0,13384871.71,3825901.45,17418.68
2006,ND,367605.0,6387.0,292168.13,1409.8600000000001,46.42
2006,NE,1271134.0,20402.0,1817325.1,0.0,0.0
2006,NH,1617848.0,30955.0,1917167.69,1667643.5899999999,26336.41
2006,NJ,6469033.8,100026.0,10959250.92,2451284.25,0.0
2006,NM,127392.0,2402.0,48178.590000000004,0.0,0.0
2006,NV,1944845.44,21364.0,3079349.5700000003,1239808.56,5894.07
2006,NY,17545645.258,180099.0,34029878.99,22176216.32,90304.73000000001
2006,OH,20287037.0,316734.0,15521375.380000003,10112065.110000001,0.0
2006,OK,2986143.0,49995.0,3830475.3599999994,138147.25999999998,0.0
2006,OR,2181241.0,27986.0,1826339.1099999999,488978.74,10458.0
2006,PA,6541971.7,97956.0,3534941.1999999997,455759.73,42855.42
2006,RI,869508.0,13348.0,1499336.39,0.0,0.0
2006,SC,4044116.0,70384.0,4015451.1799999997,3500925.76,32784.07
2006,SD,465628.0,7190.0,556759.99,0.0,0.0
2006,TN,8851886.27,2871497.0,285308844.46000004,6234632.75,20586.29
2006,TX,1910902.0,18504.0,5733724.06,3394177.34,12862.44
2006,UT,2663807.81,49447.0,4067525.5400000005,0.0,0.0
2006,VA,2308820.1,36070.0,2582656.85,501755.84,3468.59
2006,VT,562618.0,9692.0,337254.06,0.0,0.0
